,Season,Episode,Speaker,Line,date_job
0,1.0,1.0,Carrie,"Once upon a time, an English journalist came to New York.",
1,1.0,1.0,Carrie,Elizabeth was attractive and bright.,
2,1.0,1.0,Carrie,Right away she hooked up with one of the city's typically eligible bachelors.,
3,1.0,1.0,Tim,The question remains-- Is this really a company we want to own? ,
4,1.0,1.0,Carrie,"Tim was 42, a well-liked and respected investment banker who made about two million a year.",
5,1.0,1.0,Carrie,"They met one evening, in typical New York fashion at a gallery opening.",
6,1.0,1.0,Tim,Like it? ,
7,1.0,1.0,Elizabeth,"Yes, actually. I think it's quite interesting. What?",
8,1.0,1.0,Tim, I feel like I know you from somewhere.,
9,1.0,1.0,Elizabeth,Doubtful. I only just moved here from London.,
10,1.0,1.0,Tim,London? Really? That's my all-time favorite city.,
11,1.0,1.0,Elizabeth,- It is?,
12,1.0,1.0,Tim,Absolutely.,
13,1.0,1.0,Carrie,It was love at first sight.,
14,1.0,1.0,Elizabeth,You know I think perhaps I have met you somewhere before.,
15,1.0,1.0,Carrie,For two weeks they snuggled went to romantic restaurants had wonderful sex and shared their most intimate secrets.,
16,1.0,1.0,Carrie,One warm spring day he took her to a town house he saw in Sunday's New York Times.,
17,1.0,1.0,Realtor,How 'bout if we start at the top and work our way down? There are four bedrooms upstairs. Do you have any children? ,
18,1.0,1.0,Tim,Not yet.,
19,1.0,1.0,Carrie,"That day, Tim popped the question.",
20,1.0,1.0,Tim,How'd you like to have dinner with my folks Tuesday night?,
21,1.0,1.0,Elizabeth,I'd love to.,
22,1.0,1.0,Carrie,"On Tuesday, he called with some bad news.",
23,1.0,1.0,Tim,My mother's not feeling very well.,
24,1.0,1.0,Elizabeth,"Well, gosh, I'm sorry.",
25,1.0,1.0,Tim,- Could we take a rain check? ,
26,1.0,1.0,Elizabeth,- Of course. Tell your mum I hope she feels better.,
27,1.0,1.0,Carrie,"When she hadn't heard from him for two weeks, she called.",
28,1.0,1.0,Elizabeth,"Tim, it's Elizabeth. That's an awfully long rain check.",
29,1.0,1.0,Carrie,He said he was up to his ears and that he'd call her the next day.,
30,1.0,1.0,Elizabeth,"He never did call, of course. Bastard.",
31,1.0,1.0,Carrie,- She told me one day over coffee.,
32,1.0,1.0,Elizabeth,- I don't understand.,
33,1.0,1.0,Elizabeth,"In England, looking at houses together would have meant something.",
34,1.0,1.0,Carrie,Then I realized no one had told her about the end of love in Manhattan.,
35,1.0,1.0,Carrie,"Welcome to the age of ""un-innocence.",
36,1.0,1.0,Carrie,""" No one has breakfast at Tiffany's, and no one has affairs to remember.",
37,1.0,1.0,Carrie,"Instead, we have breakfast at 7:00 a.m.",
38,1.0,1.0,Carrie,and affairs we try to forget as quickly as possible.,
39,1.0,1.0,Carrie,Self-protection and closing the deal are paramount.,
40,1.0,1.0,Carrie,Cupid has flown the co-op.,
41,1.0,1.0,Carrie,"How the hell did we get into this mess? There are thousands, maybe tens of thousands of women like this in the city.",
42,1.0,1.0,Carrie,"We all know them, and we all agree they're great.",
43,1.0,1.0,Carrie,They travel.,
44,1.0,1.0,Carrie,They pay taxes.,
45,1.0,1.0,Carrie,They'll spend $400 on a pair of Manolo Blahnik strappy sandals.,
46,1.0,1.0,Carrie,And they're alone.,
47,1.0,1.0,Carrie,It's like the riddle of the Sphinx.,
48,1.0,1.0,Carrie,Why are there so many great unmarried women and no great unmarried men? I explore these sorts of issues in my column and I have terrific sources: my friends.,
49,1.0,1.0,Peter Mason,"When you're a young guy in your 20s, women are controlling the relationship.",
50,1.0,1.0,Peter Mason,So by the time you're an eligible man in your 30s you feel like you're being devoured by women.,
51,1.0,1.0,Peter Mason,"Suddenly, the guys are holding all the chips.",
52,1.0,1.0,Peter Mason,I call it the mid-30s power flip.,
53,1.0,1.0,Capote Duncan,It's all about age and biology.,
54,1.0,1.0,Capote Duncan,"I mean, if you want to get married, it's to have kids, right? Not with someone older than 35, 'cause you have to have kids right away and that's about it.",
55,1.0,1.0,Capote Duncan,I think these women should just forget about marriage and have a good time.,
56,1.0,1.0,Miranda,I have a friend who'd always gone out with extremely sexy guys and just had a good time.,
57,1.0,1.0,Miranda,"One day she woke up, and she was 41.",
58,1.0,1.0,Miranda,She couldn't get any more dates.,
59,1.0,1.0,Miranda,She had a complete physical breakdown couldn't hold her job and moved back to Wisconsin to live with her mother.,
60,1.0,1.0,Miranda,Trust me-- this is not a story that makes men feel bad.,
61,1.0,1.0,Charlotte,Most men are threatened by successful women.,
62,1.0,1.0,Charlotte,"If you want to get these guys, you have to keep your mouth shut and play by the rules.",
63,1.0,1.0,Skipper,I totally believe that love conquers all.,
64,1.0,1.0,Skipper,Sometimes you just have to give it a little space and that's exactly what's missing in Manhattan-- the space for romance.,
65,1.0,1.0,Peter Mason,The problem is expectations.,
66,1.0,1.0,Peter Mason,Older women don't want to settle for what's available.,
