ep_data_name,ep_data_url,Season,Episode,ID
"To Market, to Market",https://www.imdb.com/title/tt0698694/?ref_=ttep_ep1,6,1,0698694
Great Sexpectations,https://www.imdb.com/title/tt0698639/?ref_=ttep_ep2,6,2,0698639
The Perfect Present,https://www.imdb.com/title/tt0698686/?ref_=ttep_ep3,6,3,0698686
"Pick-a-Little, Talk-a-Little",https://www.imdb.com/title/tt0698656/?ref_=ttep_ep4,6,4,0698656
"Lights, Camera, Relationship",https://www.imdb.com/title/tt0698647/?ref_=ttep_ep5,6,5,0698647
"Hop, Skip, and a Week",https://www.imdb.com/title/tt0698640/?ref_=ttep_ep6,6,6,0698640
The Post-It Always Sticks Twice,https://www.imdb.com/title/tt0698687/?ref_=ttep_ep7,6,7,0698687
The Catch,https://www.imdb.com/title/tt0698674/?ref_=ttep_ep8,6,8,0698674
A Woman's Right to Shoes,https://www.imdb.com/title/tt0698609/?ref_=ttep_ep9,6,9,0698609
"Boy, Interrupted",https://www.imdb.com/title/tt0698621/?ref_=ttep_ep10,6,10,0698621
The Domino Effect,https://www.imdb.com/title/tt0698678/?ref_=ttep_ep11,6,11,0698678
One,https://www.imdb.com/title/tt0698654/?ref_=ttep_ep12,6,12,0698654
Let There Be Light,https://www.imdb.com/title/tt0698646/?ref_=ttep_ep13,6,13,0698646
The Ick Factor,https://www.imdb.com/title/tt0698683/?ref_=ttep_ep14,6,14,0698683
Catch-38,https://www.imdb.com/title/tt0698622/?ref_=ttep_ep15,6,15,0698622
Out of the Frying Pan,https://www.imdb.com/title/tt0698655/?ref_=ttep_ep16,6,16,0698655
The Cold War,https://www.imdb.com/title/tt0698677/?ref_=ttep_ep17,6,17,0698677
Splat!,https://www.imdb.com/title/tt0698666/?ref_=ttep_ep18,6,18,0698666
An American Girl in Paris: Part Une,https://www.imdb.com/title/tt0698613/?ref_=ttep_ep19,6,19,0698613
An American Girl in Paris: Part Deux,https://www.imdb.com/title/tt0698612/?ref_=ttep_ep20,6,20,0698612
Anchors Away,https://www.imdb.com/title/tt0698614/?ref_=ttep_ep1,5,1,0698614
Unoriginal Sin,https://www.imdb.com/title/tt0698696/?ref_=ttep_ep2,5,2,0698696
Luck Be an Old Lady,https://www.imdb.com/title/tt0698648/?ref_=ttep_ep3,5,3,0698648
Cover Girl,https://www.imdb.com/title/tt0698626/?ref_=ttep_ep4,5,4,0698626
Plus One Is the Loneliest Number,https://www.imdb.com/title/tt0698657/?ref_=ttep_ep5,5,5,0698657
Critical Condition,https://www.imdb.com/title/tt0698627/?ref_=ttep_ep6,5,6,0698627
The Big Journey,https://www.imdb.com/title/tt0698671/?ref_=ttep_ep7,5,7,0698671
I Love a Charade,https://www.imdb.com/title/tt0698643/?ref_=ttep_ep8,5,8,0698643
The Agony and the Ex-tacy,https://www.imdb.com/title/tt0698668/?ref_=ttep_ep1,4,1,0698668
The Real Me,https://www.imdb.com/title/tt0698689/?ref_=ttep_ep2,4,2,0698689
Defining Moments,https://www.imdb.com/title/tt0698628/?ref_=ttep_ep3,4,3,0698628
What's Sex Got to Do with It?,https://www.imdb.com/title/tt0698700/?ref_=ttep_ep4,4,4,0698700
Ghost Town,https://www.imdb.com/title/tt0698638/?ref_=ttep_ep5,4,5,0698638
"Baby, Talk Is Cheap",https://www.imdb.com/title/tt0698617/?ref_=ttep_ep6,4,6,0698617
Time and Punishment,https://www.imdb.com/title/tt0698693/?ref_=ttep_ep7,4,7,0698693
"My Motherboard, My Self",https://www.imdb.com/title/tt0698650/?ref_=ttep_ep8,4,8,0698650
Sex and the Country,https://www.imdb.com/title/tt0698664/?ref_=ttep_ep9,4,9,0698664
Belles of the Balls,https://www.imdb.com/title/tt0698619/?ref_=ttep_ep10,4,10,0698619
"Coulda, Woulda, Shoulda",https://www.imdb.com/title/tt0698625/?ref_=ttep_ep11,4,11,0698625
Just Say Yes,https://www.imdb.com/title/tt0698644/?ref_=ttep_ep12,4,12,0698644
The Good Fight,https://www.imdb.com/title/tt0698682/?ref_=ttep_ep13,4,13,0698682
All That Glitters,https://www.imdb.com/title/tt0698610/?ref_=ttep_ep14,4,14,0698610
Change of a Dress,https://www.imdb.com/title/tt0698623/?ref_=ttep_ep15,4,15,0698623
Ring a Ding Ding,https://www.imdb.com/title/tt0698659/?ref_=ttep_ep16,4,16,0698659
A 'Vogue' Idea,https://www.imdb.com/title/tt0698608/?ref_=ttep_ep17,4,17,0698608
I Heart NY,https://www.imdb.com/title/tt0698642/?ref_=ttep_ep18,4,18,0698642
Where There's Smoke...,https://www.imdb.com/title/tt0698701/?ref_=ttep_ep1,3,1,0698701
Politically Erect,https://www.imdb.com/title/tt0698658/?ref_=ttep_ep2,3,2,0698658
Attack of the Five Foot Ten Woman,https://www.imdb.com/title/tt0698616/?ref_=ttep_ep3,3,3,0698616
"Boy, Girl, Boy, Girl...",https://www.imdb.com/title/tt0698620/?ref_=ttep_ep4,3,4,0698620
"No Ifs, Ands or Butts",https://www.imdb.com/title/tt0698651/?ref_=ttep_ep5,3,5,0698651
Are We Sluts?,https://www.imdb.com/title/tt0698615/?ref_=ttep_ep6,3,6,0698615
Drama Queens,https://www.imdb.com/title/tt0698630/?ref_=ttep_ep7,3,7,0698630
The Big Time,https://www.imdb.com/title/tt0698672/?ref_=ttep_ep8,3,8,0698672
